Postal Code;City;Street
1922;Frederiksberg C;Sankt Markus Alle
1923;Frederiksberg C;Johnstrups Alle
1924;Frederiksberg C;Steenstrups Alle
1925;Frederiksberg C;Julius Thomsens Plads
1926;Frederiksberg C;Martinsvej
1927;Frederiksberg C;Suomisvej
1928;Frederiksberg C;Filippavej
1931;Frederiksberg C;Ufrankerede svarforsendelser
1950;Frederiksberg C;Hostrupsvej
1951;Frederiksberg C;Christian Richardts Vej
1952;Frederiksberg C;Falkonervænget
1953;Frederiksberg C;Sankt Nikolaj Vej
1954;Frederiksberg C;Hostrups Have
1955;Frederiksberg C;Dr. Abildgaards Alle
1956;Frederiksberg C;L.I. Brandes Alle
1957;Frederiksberg C;N.J. Fjords Alle
1958;Frederiksberg C;Rolighedsvej
1959;Frederiksberg C;Falkonergårdsvej
1960;Frederiksberg C;Åboulevard 15-55
1961;Frederiksberg C;J.M. Thieles Vej
1962;Frederiksberg C;Fuglevangsvej
1963;Frederiksberg C;Bille Brahes Vej
1964;Frederiksberg C;Ingemannsvej
1965;Frederiksberg C;Erik Menveds Vej
1966;Frederiksberg C;Steenwinkelsvej
1967;Frederiksberg C;Svanemosegårdsvej
1970;Frederiksberg C;Rosenorns Alle 1-65 + 20-70
1971;Frederiksberg C;Adolph Steens Alle
1972;Frederiksberg C;Worsaaesvej
1973;Frederiksberg C;Jakob Dannefærds Vej
1974;Frederiksberg C;Julius Thomsens Gade Ulige nr
1999;Frederiksberg C;Rosenorns Alle 22
2000;Frederiksberg;
2100;Kobenhavn o;
2200;Kobenhavn N;
2300;Kobenhavn S;
2400;Kobenhavn NV;
2450;Kobenhavn SV;
2500;Valby;
2620;Albertslund;
2700;Bronshoj;
2720;Vanlose;
